Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2009-11-30,1088.07,22.906666666667,38.16,216.33,3.4,1293.3260838996,27.227834142283,45.358592150881,19.812761079966
2009-10-31,1067.66,23.403333333333,25.35,216.177,3.39,1269.9640791574,27.837881597025,30.153409705935,19.358008443487
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1243.6717420093,28.456038135103,14.930490301849,18.83190226484
2009-08-31,1009.73,24.463333333333,10.863333333333,215.834,3.59,1202.9659945606,29.144977482695,12.942292085584,18.094069801576
2009-07-31,935.82,25.026666666667,9.1866666666667,215.351,3.56,1117.4121270855,29.8829912097,10.969302580438,16.694620816996
2009-06-30,926.12,25.59,7.51,215.693,3.72,1104.0764914949,30.507188504031,8.953067044364,16.384182816215
2009-05-31,902.41,26.146666666667,7.2933333333333,213.856,3.29,1085.0516468558,31.438574180757,8.7694543992219,15.996355755263
2009-04-30,848.15,26.703333333333,7.0766666666667,213.24,2.93,1022.7557815138,32.200658553742,8.5335161789533,14.981866453039
2009-03-31,757.13,27.26,6.86,212.709,2.82,915.27697967646,32.953984739715,8.2928956461645,13.323667656864
2009-02-28,805.23,27.636666666667,9.5333333333333,212.193,2.87,975.79108156254,33.490571460887,11.552651595481,14.122181801919
2009-01-31,865.58,28.013333333333,12.206666666667,211.143,2.52,1054.1404433015,34.115838649636,14.865802134099,15.17465193688
2008-12-31,877.56,28.39,14.88,210.228,2.42,1073.3817609453,34.725042382556,18.200374450596,15.376080747424
2008-11-30,883.04,28.543333333333,25.236666666667,212.425,3.53,1068.9138404613,34.551508485348,30.54881125103,15.259659405705
2008-10-31,968.8,28.696666666667,35.593333333333,216.573,3.81,1150.2646368661,34.071801055533,42.260273164245,16.38735654879
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1430.2999138416,33.90784544503,54.005736506036,20.362733946098
2008-08-31,1281.47,28.803333333333,47.756666666667,219.086,3.89,1504.0482474006,33.806178076189,56.051511780762,21.401617360048
2008-07-31,1257.33,28.756666666667,49.563333333333,219.964,4.01,1469.8249662217,33.616685048462,57.939780918696,20.907206462662
2008-06-30,1341.25,28.71,51.37,218.815,4.1,1576.161066426,33.738366611064,60.367115737038,22.416812802282
2008-05-31,1403.22,28.573333333333,54.376666666667,216.632,3.88,1665.6015158425,33.916126703349,64.544304119428,23.696432116623
2008-04-30,1370.47,28.436666666667,57.383333333333,214.823,3.68,1640.4262361572,34.038143169028,68.686746530865,23.356040643202
2008-03-31,1316.94,28.3,60.39,213.528,3.51,1585.9120801956,34.079997471058,72.724065274812,22.606810842249
2008-02-29,1354.87,28.11,62.32,211.693,3.74,1645.7318708224,34.144621173114,75.698783049038,23.495263401812
2008-01-31,1378.76,27.92,64.25,211.08,3.74,1679.6142109153,34.012321773735,78.269759096077,24.022317760837
2007-12-31,1479.22,27.73,66.18,210.036,4.1,1810.9521776267,33.948772924641,81.021629720619,25.95551010524
2007-11-30,1463.39,27.48,70.32,210.177,4.15,1790.3702175309,33.620137883784,86.032317903481,25.729053579498
2007-10-31,1539.66,27.23,74.46,208.936,4.53,1894.8703561856,33.512151902975,91.638444021136,27.320648130462
2007-09-30,1497.12,26.98,78.6,208.49,4.52,1846.4575743681,33.275505875582,96.940502661998,26.725743047697
2007-08-31,1454.62,26.71,80.706666666667,207.917,4.67,1798.9848457798,33.033290640015,99.813057902913,26.148607189312
2007-07-31,1520.71,26.44,82.813333333333,208.299,5.0,1877.2718481126,32.639403741737,102.2306286636,27.410088167204
2007-06-30,1514.19,26.17,84.92,208.352,5.1,1868.747611782,32.297878734065,104.80458013362,27.418262740411
2007-05-31,1511.14,25.943333333333,84.33,207.949,4.75,1868.5977256924,32.080186920832,104.27812526148,27.548490451851
2007-04-30,1463.64,25.716666666667,83.74,206.686,4.69,1820.9212329814,31.99422287915,104.18131784446,26.976268314189
2007-03-31,1406.95,25.49,83.15,205.352,4.56,1761.7637814582,31.918233618372,104.11930660524,26.227605554651
2007-02-28,1444.8,25.286666666667,82.603333333333,203.499,4.72,1825.6326920525,31.951941680303,104.37662361977,27.315181413517
2007-01-31,1424.16,25.083333333333,82.056666666667,202.416,4.76,1809.1804908703,31.864591978895,104.24061936803,27.207536656807
2006-12-31,1416.42,24.88,81.51,201.8,4.56,1804.8405469772,31.702766699703,103.86223929633,27.282689787572
2006-11-30,1388.64,24.62,80.53,201.5,4.6,1772.0769278412,31.418174590571,102.76627131514,26.928020270856
2006-10-31,1363.38,24.36,79.55,201.8,4.73,1737.2555491576,31.040168681863,101.36475445986,26.538040282102
2006-09-30,1317.74,24.1,78.57,202.9,4.72,1669.9967760473,30.542384918679,99.573244110399,25.644156440797
2006-08-31,1287.15,23.88,77.21,203.9,4.88,1623.2293469838,30.115151152526,97.369799852869,25.051393562011
2006-07-31,1260.24,23.66,75.85,203.5,5.09,1592.416969828,29.896357444717,95.842718181818,24.696786766853
2006-06-30,1253.17,23.44,74.49,202.9,5.11,1588.165996205,29.705954460325,94.402583095121,24.749582241646
2006-05-31,1290.01,23.22,73.883333333333,202.5,5.11,1638.0833648889,29.485272,93.818698518519,25.650640708757
2006-04-30,1302.17,23.0,73.276666666667,201.5,4.99,1661.7304795534,29.350853598015,93.510118064516,26.147280943875
